wristCounter = 250, leftWristC = 1.97882677793503, rightWristC = 1.9815319237709, leftFootC = 0.883019258975983, rightFootC = 0.864542754650116, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.18835099887848, rightWristC = 2.21236065864563, leftFootC = 0.925949546575546, rightFootC = 0.913008588314056, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.17640506458282, rightWristC = 2.19391956710815, leftFootC = 0.928080146789551, rightFootC = 0.930201860904694, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.04833284854889, rightWristC = 2.08736397171021, leftFootC = 0.91347886633873, rightFootC = 0.904107162475586, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.14759218025208, rightWristC = 2.17268038463593, leftFootC = 0.914059673070908, rightFootC = 0.902634370565414, gravX = 0, gravY = 0
wristCounter = 251, leftWristC = 2.03851080605708, rightWristC = 2.08243452695261, leftFootC = 1.13099557992472, rightFootC = 1.13753310237748, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.04944786834717, rightWristC = 2.0810499420166, leftFootC = 1.16067853069305, rightFootC = 1.15421789884567, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.04595398044586, rightWristC = 2.0731856136322, leftFootC = 1.12745067691803, rightFootC = 1.15198770046234, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.02300946426392, rightWristC = 2.04582002258301, leftFootC = 1.12304055929184, rightFootC = 1.121222676754, gravX = 0, gravY = 0
wristCounter = 251, leftWristC = 2.00149390042066, rightWristC = 2.00641859195147, leftFootC = 1.10599898009661, rightFootC = 1.12123882580563, gravX = 0, gravY = 0
wristCounter = 251, leftWristC = 2.04052715852441, rightWristC = 2.05206987677342, leftFootC = 1.15990106708025, rightFootC = 1.12675925839945, gravX = 0, gravY = 0
wristCounter = 251, leftWristC = 2.0454053546328, rightWristC = 2.0330670459337, leftFootC = 1.1443498400578, rightFootC = 1.11486244106673, gravX = 0, gravY = 0
wristCounter = 251, leftWristC = 2.09692060235012, rightWristC = 2.0777090640657, leftFootC = 1.13363096201087, rightFootC = 1.11451072046956, gravX = 0, gravY = 0
wristCounter = 251, leftWristC = 2.10282882751222, rightWristC = 2.09640315804349, leftFootC = 1.19202299754458, rightFootC = 1.1255813020159, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.10000281524658, rightWristC = 2.09044948387146, leftFootC = 1.13871232700348, rightFootC = 1.10591306447983, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.0539194059372, rightWristC = 2.04763662242889, leftFootC = 1.17577281570435, rightFootC = 1.09693769073486, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.12827419757843, rightWristC = 2.12110012817383, leftFootC = 1.15531054878235, rightFootC = 1.13041185235977, gravX = 0, gravY = 0
wristCounter = 251, leftWristC = 0, rightWristC = 0, leftFootC = 0, rightFootC = 0, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.09146147727966, rightWristC = 2.08113411998749, leftFootC = 1.19022242069244, rightFootC = 1.1339424943924, gravX = 0, gravY = 0
wristCounter = 252, leftWristC = 2.14399399738463, rightWristC = 2.11992635424175, leftFootC = 1.15519152558039, rightFootC = 1.17618276391711, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.15395118808746, rightWristC = 2.15497413539886, leftFootC = 1.20245837831497, rightFootC = 1.14877391862869, gravX = 0, gravY = 0
wristCounter = 251, leftWristC = 2.13567679051859, rightWristC = 2.1078767899973, leftFootC = 1.1580836929648, rightFootC = 1.13167715500075, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 0, rightWristC = 0, leftFootC = 0, rightFootC = 0, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 0, leftWristC = NaN, rightWristC = NaN, leftFootC = NaN, rightFootC = NaN, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.14835552024841, rightWristC = 2.15616036605835, leftFootC = 1.16504624843597, rightFootC = 1.13209766864777, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.15714665603638, rightWristC = 2.16130867195129, leftFootC = 1.1621014547348, rightFootC = 1.1876947183609, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.23026423454285, rightWristC = 2.3130018157959, leftFootC = 0.847473560571671, rightFootC = 0.820470551252365, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 0.69980420589447, rightWristC = 0.740475120544434, leftFootC = 0.251422824382782, rightFootC = 0.249063156366348, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 2.41526285076141, rightWristC = 2.49563229370117, leftFootC = 0.816190375804901, rightFootC = 0.798397126436234, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 0, rightWristC = 0, leftFootC = 0, rightFootC = 0, gravX = 0, gravY = 0
wristCounter = 250, leftWristC = 0, rightWristC = 0, leftFootC = 0, rightFootC = 0, gravX = 0, gravY = 0
